station_id,station_name,state,district,city,location,latitude,longitude,operator,govt_private,charger_type,ac_dc,power_kw,connector_rating,num_connectors,source_record_count,source,data_date,status,usage_cost,review_flag
BEE-27.976182-74.682608,Village - Bhinchri Sh-7Ratangarh To Salasar Road Tehsil Ratangarh Churu,Rajasthan,Churu,Churu,Village - Bhinchri Sh-7Ratangarh To Salasar Road Tehsil Ratangarh Churu,27.976182,74.682608,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.400140-76.780530,"KUDGAON- SAPOTARA ROAD, MDR , City=DABRA, District=KARAULI, State=Rajasthan",Rajasthan,KARAULI,DABRA,"KUDGAON- SAPOTARA ROAD, MDR , City=DABRA, District=KARAULI, State=Rajasthan",26.40014,76.78053,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.753555-77.952665,"VILAGE-DAGARPUR, DHOLPUR TO RAJAKHEDA ROAD, , City=DAGARPUR, District=DHOLPUR, State=Rajasthan",Rajasthan,DHOLPUR,DAGARPUR,"VILAGE-DAGARPUR, DHOLPUR TO RAJAKHEDA ROAD, , City=DAGARPUR, District=DHOLPUR, State=Rajasthan",26.753555,77.952665,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-23.684600-74.850300,"DALOT, , City=DALOT, District=PRATAPGARH, State=Rajasthan",Rajasthan,PRATAPGARH,DALOT,"DALOT, , City=DALOT, District=PRATAPGARH, State=Rajasthan",23.6846,74.8503,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.260000-75.180000,"SH 8A, RAMGARH, DANTA SIKAR, , City=DANTA District=SIKAR, State=Rajasthan",Rajasthan,SIKAR,DANTA RAMGARH,"SH 8A, RAMGARH, DANTA SIKAR, , City=DANTA District=SIKAR, State=Rajasthan",27.26,75.18,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-24.835922-76.003802,"JHALAWAR ROAD, NH-12, , City=DARAH, District=KOTA, State=Rajasthan",Rajasthan,KOTA,DARAH,"JHALAWAR ROAD, NH-12, , City=DARAH, District=KOTA, State=Rajasthan",24.835922,76.003802,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.904266-76.358283,"DAUSA CITY, RIICO INDUSTRIAL AREA, , City=DAUSA, District=DAUSA, State=Rajasthan",Rajasthan,DAUSA,DAUSA,"DAUSA CITY, RIICO INDUSTRIAL AREA, , City=DAUSA, District=DAUSA, State=Rajasthan",26.904266,76.358283,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.896978-76.291741,"ZEROTA KALA, #, , City=DAUSA, District=DAUSA, State=Rajasthan",Rajasthan,DAUSA,DAUSA,"ZEROTA KALA, #, , City=DAUSA, District=DAUSA, State=Rajasthan",26.896978,76.291741,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.639204-75.982608,"DAYAPURA ON NH-12, TONK ROAD, TEHSIL-CHAKSU, , City=DAYAPURA, District=JAIPUR (Rural), State=Rajasthan",Rajasthan,JAIPUR (Rural),DAYAPURA,"DAYAPURA ON NH-12, TONK ROAD, TEHSIL-CHAKSU, , City=DAYAPURA, District=JAIPUR (Rural), State=Rajasthan",26.639204,75.982608,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.863359-74.328479,"VILLAGE DEGANA, SH 60, , City=DEGANA, District=NAGAUR, State=Rajasthan",Rajasthan,NAGAUR,DEGANA,"VILLAGE DEGANA, SH 60, , City=DEGANA, District=NAGAUR, State=Rajasthan",26.863359,74.328479,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.148792-77.269830,"JAIPUR ROAD NH-11, #, , City=DEHRAMOD, District=BHARATPUR, State=Rajasthan",Rajasthan,BHARATPUR,DEHRAMOD,"JAIPUR ROAD NH-11, #, , City=DEHRAMOD, District=BHARATPUR, State=Rajasthan",27.148792,77.26983,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-25.485795-73.980524,"VILLAGE ANOP PURA, DEOGARH, , City=DEOGARH, District=RAJSAMAND, State=Rajasthan",Rajasthan,RAJSAMAND,DEOGARH,"VILLAGE ANOP PURA, DEOGARH, , City=DEOGARH, District=RAJSAMAND, State=Rajasthan",25.485795,73.980524,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-25.757180-75.384245,"KOTA-JAIPUR HIHGWAY, NH-12, , City=DEOLI, District=TONK, State=Rajasthan",Rajasthan,TONK,DEOLI,"KOTA-JAIPUR HIHGWAY, NH-12, , City=DEOLI, District=TONK, State=Rajasthan",25.75718,75.384245,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
